Test Track List,Overall Accuracy,Raw Pitch Accuracy,Raw Chroma Accuracy,Voicing Recall,Voicing False Alarm
AClassicEducation_NightOwl,0.652468341572425,0.7804956205938902,0.7917111728263192,0.5176244392223884,0.04680851063829787
Auctioneer_OurFutureFaces,0.6596671506757511,0.8134359839696267,0.8295718202910778,0.5529424172115588,0.16868471035137703
CelestialShore_DieForUs,0.7396575428071491,0.420384047267356,0.5323485967503693,0.3150664697193501,0.04294086926246156
ChrisJacoby_BoothShotLincoln,0.45509471675827917,0.6279342068580986,0.6708112628937831,0.48380262057429607,0.23075036782736635
ChrisJacoby_PigsFoot,0.5731634040669176,0.6999212046926983,0.7466730870250394,0.5499912449658554,0.18730773612851773
Creepoid_OldTree,0.6033038801383019,0.725739184562714,0.7737939620292561,0.4326797385620915,0.0515805318615153
Debussy_LenfantProdigue,0.7210304887549992,0.854080791426216,0.8742786479802144,0.8716405605935696,0.3982872385230942
MatthewEntwistle_DontYouEver,0.7443233886569596,0.7914407436096049,0.8038342370255616,0.8191324554608831,0.2271848829718703
MatthewEntwistle_FairerHopes,0.49951702020787453,0.531412419075408,0.6611197228047779,0.6956779429196681,0.17278946034963263
MatthewEntwistle_ImpressionsOfSaturn,0.5433046004231,0.5901472582832784,0.6603855841891106,0.5855454369308274,0.22798585290650222
MatthewEntwistle_Lontano,0.550958391771856,0.5391356905409489,0.575279540646721,0.4828649138712602,0.11081880960210456
MatthewEntwistle_TheArch,0.6759291572151457,0.6393022062596203,0.7968188814776809,0.70702924576706,0.14229741763134462
MatthewEntwistle_TheFlaxenField,0.44473551998851646,0.5958490751189833,0.6778862666208724,0.5569402875226928,0.4233800935203741
Mozart_DiesBildnis,0.7416903121199838,0.8382458148519102,0.8566318500500787,0.8713692946058091,0.3544633553317124
MusicDelta_FusionJazz,0.6701882845188285,0.7880481513327601,0.8076812840355403,0.7780166236744053,0.34546862896979086
MusicDelta_Gospel,0.8997547516860822,0.9710045662100457,0.9710045662100457,0.9817351598173516,0.22061567164179105
MusicDelta_Pachelbel,0.36575920245398774,0.4369452500219703,0.4966165743914228,0.8769224009139643,0.8347381095725467
MusicDelta_SwingJazz,0.6568093385214008,0.8023196315879243,0.8993689237591677,0.7487634316902609,0.28749323226854356
Phoenix_BrokenPledgeChicagoReel,0.7093494627115372,0.7802838673412029,0.7949690837549185,0.8991006183249016,0.49809014514896865
Phoenix_ColliersDaughter,0.6554012909511631,0.788945592941787,0.8685234841276707,0.9062364847331545,0.5550298292532401
Phoenix_ElzicsFarewell,0.48352231284397584,0.6023768484078744,0.7285675405969337,0.6797605007711149,0.4741251848201084
Phoenix_LarkOnTheStrandDrummondCastle,0.7062563580874873,0.8109778044391122,0.8390521895620876,0.9266346730653869,0.682943143812709
Phoenix_ScotchMorris,0.7257176563114431,0.8551028979420412,0.8692986140277195,0.942545149097018,0.6316731285416045
Phoenix_SeanCaughlinsTheScartaglen,0.7013971110584892,0.7926968174204355,0.8574874371859297,0.8839530988274706,0.5632943568886629
PortStWillow_StayEven,0.7655460338387168,0.6527852893455922,0.6627906976744186,0.5478637101135749,0.13606228026117528
Schubert_Erstarrung,0.6334624115369208,0.687308533916849,0.7400437636761488,0.650328227571116,0.2528263103802672
StrandOfOaks_Spacestation,0.7837181623422994,0.862378459237098,0.8641735228122662,0.5919222139117427,0.10740223463687151
Average Results,0.6430268997044294,0.7140258502687054,0.7648415672009307,0.6983736800162509,0.31018674418897973
